#Namespace(arch='AlexNet', batch_size=128, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=False, checkpoint_file=None, clustering='faiss', data_dir='./data', dataset='CIFAR10', deep_cluster_and_contrastive_loss=False, ds_split='train', ds_train=True, epochs=100, grayscale=True, input_dim=2, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_dir='./metrics/CIFAR10/100_runs/', metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='SGD', optimizer_tl='SGD', param_requires_grad=False, pca=True, pca_method='faiss', pca_reduction=256, pca_whitening=True, reassign_clustering=False, reassign_optimizer_tl=True, requires_grad=True, seed=None, sobel=True, verbose=True, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,contrastive_loss_avg,deep_cluster_loss_avg,accuracy,true_accuracy,nmi_true_pred,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,2.0129168,0.0,2.0129168,0.29563302,0.1116786858974359,0.07536835098604691,0.0,273.6070547103882,98.77152895927429,68.79719924926758,0.5229921340942383,105.36983895301819
1,1.2326846,0.0,1.2326846,0.54969954,0.12858573717948718,0.07498809218825311,0.16111736397504736,271.02435541152954,91.77450489997864,65.94125771522522,0.3273751735687256,112.84767580032349
2,1.177326,0.0,1.177326,0.56690705,0.11754807692307692,0.0850339976240475,0.3789824179696045,268.7344934940338,91.88898229598999,66.00289845466614,0.32346606254577637,110.37601971626282
3,1.1459261,0.0,1.1459261,0.5708734,0.12411858974358975,0.07913654021205895,0.46581395419883226,266.78028655052185,92.36254286766052,65.85710978507996,0.3279435634613037,108.08886075019836
4,1.1461903,0.0,1.1461903,0.5717548,0.11957131410256411,0.07897243664363361,0.43789151940255344,264.0903830528259,92.47181797027588,66.64631986618042,0.3255500793457031,104.5025589466095
5,1.237446,0.0,1.237446,0.5471955,0.11203926282051282,0.07054726881728537,0.38367549689775987,396.4489150047302,219.43367218971252,66.42813539505005,0.8389642238616943,109.56929755210876
6,1.1501665,0.0,1.1501665,0.5802484,0.1150040064102564,0.0827725002240028,0.4204816977804002,504.10800075531006,199.0615153312683,176.41400456428528,0.4213883876800537,128.0359332561493
7,1.1759409,0.0,1.1759409,0.55246395,0.11666666666666667,0.08257884752040748,0.45947119969166417,543.8871514797211,216.1282365322113,200.93643736839294,0.45844173431396484,126.17819142341614
8,1.1062788,0.0,1.1062788,0.5778646,0.11965144230769231,0.08287952283178658,0.42025719791021043,507.876615524292,199.10153436660767,181.97636818885803,0.41474318504333496,126.20142102241516
9,1.1655804,0.0,1.1655804,0.54741585,0.12279647435897435,0.08797662164499251,0.40177154159447603,518.9281284809113,210.09572649002075,183.4948127269745,0.7502124309539795,124.38948369026184
10,1.1004518,0.0,1.1004518,0.58203125,0.11997195512820513,0.09500978773650529,0.4163631272183101,520.209721326828,210.30333852767944,181.59532022476196,1.1007611751556396,127.00811004638672
11,1.1530023,0.0,1.1530023,0.56564504,0.1180488782051282,0.09142995519685862,0.3973946379326841,546.9143993854523,235.39034175872803,190.24391841888428,0.8005630970001221,120.27881217002869
12,1.0325118,0.0,1.0325118,0.61091745,0.12716346153846153,0.09177532609167145,0.4251033331588707,549.1798477172852,224.47270798683167,191.7499086856842,0.6473245620727539,132.13273358345032
13,1.0011343,0.0,1.0011343,0.62001204,0.1256209935897436,0.09289799675900172,0.43273095199447853,528.3514497280121,220.00576996803284,183.78137111663818,0.7202260494232178,123.6447229385376
14,1.0482572,0.0,1.0482572,0.5986378,0.12686298076923078,0.09139034667639977,0.4125260695740479,511.56358790397644,194.92840790748596,193.65382194519043,0.78448486328125,122.00147724151611
15,1.0098306,0.0,1.0098306,0.61554486,0.1233173076923077,0.100395978116771,0.4490693051052793,506.2503297328949,208.38035416603088,179.0849757194519,0.6381585597991943,117.94481372833252
16,0.8583296,0.0,0.8583296,0.67267627,0.13866185897435898,0.09805474213169674,0.47081752977296376,504.26097321510315,201.59078812599182,174.8451542854309,0.38884973526000977,127.24231743812561
17,1.0129429,0.0,1.0129429,0.6130008,0.12005208333333334,0.0981331473356103,0.4485008785750907,535.973138332367,229.02802968025208,186.56459140777588,0.5585427284240723,119.6148853302002
18,1.0067749,0.0,1.0067749,0.61933094,0.1327323717948718,0.08403733805864796,0.4469759915175622,524.2229316234589,217.51416301727295,183.38506865501404,0.9730682373046875,122.14776349067688
19,0.92480123,0.0,0.92480123,0.6526442,0.13731971153846154,0.09876457196382794,0.41430290419577304,514.126264333725,211.28373432159424,186.12750935554504,1.1341464519500732,115.38495898246765
20,0.94932365,0.0,0.94932365,0.6415465,0.13575721153846154,0.09574653747696417,0.5043146661150728,520.1431152820587,216.4291627407074,185.498877286911,0.8948140144348145,117.15801811218262
21,0.9742032,0.0,0.9742032,0.63361377,0.13768028846153846,0.09713369269675681,0.4758509511893793,507.4158546924591,209.7877163887024,183.29644083976746,0.7886269092559814,113.37120366096497
22,1.0493302,0.0,1.0493302,0.59144634,0.12682291666666667,0.09370221292120645,0.45189876152823805,519.5068547725677,203.7679831981659,191.89272117614746,0.8330481052398682,122.82774639129639
23,1.0006961,0.0,1.0006961,0.61386216,0.13986378205128205,0.09627748689460137,0.44210988545314045,512.4873266220093,211.32563424110413,184.88285279273987,0.7427623271942139,115.35099697113037
