#Namespace(arch='AlexNet', batch_size=128, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=None, clustering='faiss', data_dir='./data', dataset='CIFAR10', epochs=100, grayscale=True, input_dim=2, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='SGD', optimizer_tl='SGD', param_requires_grad=False, pca=True, pca_method='faiss', pca_reduction=256, pca_whitening=True, reassign_clustering=False, reassign_optimizer_tl=True, requires_grad=True, seed=42, sobel=True, verbose=True, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,accuracy,true_accuracy,nmi_true_ped,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,2.0890965,0.23204,0.09322,0.08223459936524674,0.0,354.9141128063202,189.39997172355652,63.60868310928345,0.5304958820343018,101.28483128547668
1,1.9572179,0.26882,0.11768,0.06772559560646377,0.09134299485032339,386.90191745758057,180.8150041103363,60.730812072753906,0.2996671199798584,132.57317876815796
2,1.8038659,0.32792,0.07612,0.06488818284194661,0.23305059347148213,376.9106845855713,178.13627457618713,62.584970474243164,0.3135666847229004,120.36470890045166
3,1.7409939,0.36528,0.1062,0.05450106772780803,0.21977435345857418,382.18991446495056,178.51647663116455,62.32518935203552,0.3141608238220215,126.31272888183594
4,1.834628,0.31492,0.09878,0.043347885091194284,0.13505072296193832,372.0433030128479,178.5809223651886,62.5257408618927,0.31530070304870605,115.28211283683777
5,1.7476715,0.38342,0.08072,0.05639613295926323,0.12221021155525358,358.27245116233826,180.06069803237915,62.41438865661621,0.31151914596557617,109.64620471000671
6,1.5235889,0.4782,0.12118,0.0658696931113146,0.1113949897512017,370.4107892513275,178.6251392364502,62.28363394737244,0.31279540061950684,115.73584532737732
7,1.6125087,0.4328,0.0969,0.05698076228294484,0.22949166834095636,357.9536027908325,178.2418692111969,62.46262788772583,0.3102254867553711,103.74822235107422
8,1.7035401,0.39054,0.07802,0.05383617733667118,0.23260505271514623,351.92388343811035,179.18181777000427,62.339759826660156,0.3165757656097412,103.77060985565186
9,1.4042244,0.5137,0.0953,0.06838283381648293,0.2248923984596277,376.2103416919708,181.58157420158386,84.67801833152771,0.31708455085754395,103.13876867294312
10,1.5651385,0.46042,0.09354,0.06300129501092822,0.2838730490345529,363.3612895011902,180.97943925857544,63.319684982299805,0.3123140335083008,103.26550817489624
11,1.4307243,0.49674,0.0898,0.05316657700080198,0.2548896325380043,352.6746635437012,180.2432508468628,62.93398356437683,0.31447720527648926,103.25251984596252
12,1.5849392,0.44094,0.11478,0.06185450853181332,0.2923806636218646,350.7995939254761,180.42558574676514,62.12665295600891,0.31385087966918945,101.73229622840881
13,1.4966717,0.44586,0.11154,0.05107581803171939,0.16769924062497513,352.0525403022766,180.5914204120636,62.7135853767395,0.31380128860473633,102.9340329170227
14,1.5746677,0.45416,0.10392,0.060773249257659735,0.16631782673440174,348.29544281959534,180.55733633041382,63.16280508041382,0.3186500072479248,98.51186060905457
15,1.4590006,0.46422,0.1066,0.05836905445532204,0.1790420748932336,352.29588294029236,180.92799973487854,62.905086040496826,0.31624674797058105,101.99007844924927
