#Namespace(arch='AlexNet', batch_size=128, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=False, checkpoint_file=None, clustering='sklearn', data_dir='./data', dataset='CIFAR10', deep_cluster_and_contrastive_loss=False, ds_split='train', ds_train=True, epochs=25, grayscale=True, input_dim=2, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_dir='./metrics/CIFAR10/5_runs_100_epochs/', metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='SGD', optimizer_tl='SGD', param_requires_grad=False, pca=True, pca_method='sklearn', pca_reduction=256, pca_whitening=True, reassign_clustering=False, reassign_optimizer_tl=True, requires_grad=True, seed=None, sobel=True, verbose=True, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,contrastive_loss_avg,deep_cluster_loss_avg,accuracy,true_accuracy,nmi_true_pred,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,2.1233268,0.0,2.1233268,0.25528845,0.19997996794871795,0.08697262746037229,0.0,305.30501890182495,195.2244474887848,70.7670567035675,13.655537128448486,25.518053770065308
1,1.8469223,0.0,1.8469223,0.3483173,0.1817908653846154,0.057658554018130345,0.1274473251462744,294.0084834098816,189.18414974212646,69.13209390640259,12.566450357437134,23.002719163894653
2,1.6734535,0.0,1.6734535,0.400621,0.1482772435897436,0.02777565809396909,0.26249185826541865,298.20535111427307,189.94493460655212,68.77534341812134,11.304060220718384,28.049566984176636
3,1.6196173,0.0,1.6196173,0.4299479,0.15266426282051282,0.03208709877114807,0.26759292094543236,293.1705541610718,189.8288013935089,69.20968627929688,10.596412181854248,23.398621797561646
4,1.5218314,0.0,1.5218314,0.4420673,0.1620392628205128,0.05085495021389336,0.22889133538988082,307.63184785842896,201.18164920806885,69.71253418922424,11.220458269119263,25.385765314102173
5,1.4816176,0.0,1.4816176,0.4708734,0.18283253205128205,0.06615255944099901,0.22055617375135073,312.21279883384705,201.8518922328949,72.8642475605011,12.854613542556763,24.5125572681427
6,1.539928,0.0,1.539928,0.43547675,0.18159054487179488,0.06805931191905966,0.23528919162966624,294.1632778644562,189.28578209877014,69.75624012947083,10.191541194915771,24.79567790031433
7,1.4636129,0.0,1.4636129,0.4576122,0.1713341346153846,0.061420661600981794,0.29908419202771946,295.6611647605896,189.93682670593262,68.9657392501831,12.207998991012573,24.410929679870605
8,1.6138061,0.0,1.6138061,0.41814902,0.17449919871794872,0.054940452990462366,0.24980885647437723,298.7384707927704,189.27343010902405,68.49940538406372,13.210163593292236,27.62352967262268
9,1.56854,0.0,1.56854,0.42121395,0.17996794871794872,0.06311623805224034,0.28787656061830263,300.40361499786377,195.79809308052063,68.22760510444641,11.984548330307007,24.267497539520264
10,1.3870344,0.0,1.3870344,0.48721954,0.19140625,0.07249833693016412,0.30981555193000027,305.6798062324524,193.58495020866394,71.1171875,12.514453887939453,28.33849835395813
11,1.4111325,0.0,1.4111325,0.48942307,0.17071314102564103,0.06311941864850379,0.314206217043213,291.7959761619568,187.89381909370422,67.83672642707825,12.88822054862976,23.03558325767517
12,1.3595122,0.0,1.3595122,0.51752806,0.1656650641025641,0.06121904841326032,0.3631189066285267,297.8224763870239,190.890198469162,67.8428840637207,12.69868516921997,26.269150733947754
13,1.3527535,0.0,1.3527535,0.51165867,0.17756410256410257,0.06756988733902489,0.4024810948533098,265.1420714855194,182.4172511100769,67.45252823829651,7.780028343200684,7.370021820068359
14,1.4055281,0.0,1.4055281,0.5073718,0.16672676282051282,0.05669016797826528,0.4553531689180954,267.38555097579956,184.90313529968262,67.49610471725464,7.800846099853516,7.06420636177063
15,1.3274344,0.0,1.3274344,0.534355,0.15584935897435898,0.0614065501118906,0.4042635635763727,269.8174786567688,184.8603298664093,67.45397114753723,9.830977201461792,7.537102222442627
16,1.307018,0.0,1.307018,0.5388822,0.17385817307692308,0.06890646854385193,0.4563640927228832,271.47935795783997,185.2911148071289,67.47734761238098,10.716728925704956,7.859919309616089
17,1.2845018,0.0,1.2845018,0.548137,0.16446314102564102,0.06624945293927435,0.45029718065534274,266.9978771209717,185.24443888664246,67.60714387893677,6.962515592575073,7.06328821182251
18,1.3926057,0.0,1.3926057,0.4991987,0.17147435897435898,0.06615043134927143,0.41821584781894455,268.97362089157104,185.60258603096008,67.63973236083984,7.895087957382202,7.711950778961182
19,1.3276559,0.0,1.3276559,0.52702326,0.1675480769230769,0.06624537965925263,0.39275714490005187,269.3610396385193,186.61659049987793,67.19252181053162,7.855825901031494,7.569947004318237
20,1.4144582,0.0,1.4144582,0.5005609,0.17944711538461539,0.05757011877928558,0.3334801057334528,269.8561911582947,186.31129479408264,67.73449373245239,8.25772476196289,7.42877721786499
21,1.3218898,0.0,1.3218898,0.5267027,0.1680889423076923,0.06641309266720528,0.42072531958795784,269.73270320892334,186.24792218208313,67.61732339859009,8.450136661529541,7.293761253356934
22,1.31777,0.0,1.31777,0.52808493,0.17704326923076924,0.06761800158984933,0.4751928056309096,266.0518705844879,183.10267043113708,67.81097912788391,7.793604135513306,7.219531774520874
23,1.3152632,0.0,1.3152632,0.5330729,0.18163060897435898,0.07524784396233289,0.5123600916635855,267.87409710884094,184.01447582244873,67.37788343429565,8.874893188476562,7.4834418296813965
24,1.2910367,0.0,1.2910367,0.5407452,0.1873798076923077,0.07591133531827683,0.4852585433299944,267.15223503112793,183.2117886543274,67.92530155181885,8.178436756134033,7.7127368450164795
