#Namespace(arch='VGG16', batch_size=32, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=False, checkpoint_file=None, clustering='sklearn', data_dir='./data', dataset='CIFAR10', deep_cluster_and_contrastive_loss=False, ds_split='train', ds_train=True, epochs=25, grayscale=True, input_dim=2, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_dir='./metrics/CIFAR10/5_runs_100_epochs/', metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='SGD', optimizer_tl='SGD', param_requires_grad=False, pca=True, pca_method='faiss', pca_reduction=256, pca_whitening=True, reassign_clustering=False, reassign_optimizer_tl=True, requires_grad=True, seed=None, sobel=True, verbose=True, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,contrastive_loss_avg,deep_cluster_loss_avg,accuracy,true_accuracy,nmi_true_pred,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,2.6174963,0.0,2.6174963,0.24675897,0.1980433738796415,0.0781451666318527,0.0,2001.3945603370667,1195.3850564956665,621.4102869033813,37.93086504936218,146.4711720943451
1,1.113999,0.0,1.113999,0.743838,0.13360275288092188,0.029355480875927164,0.08278796873384696,2001.2461833953857,1173.1200828552246,650.2204403877258,17.4738872051239,160.25432682037354
2,1.0063511,0.0,1.0063511,0.775048,0.12970150448143405,0.02630393321373067,0.6563331584765574,2006.2670040130615,1182.9524602890015,646.8575167655945,16.582927227020264,159.68291926383972
3,1.1963453,0.0,1.1963453,0.7225712,0.1372039052496799,0.031205128797987373,0.5474171683825231,2001.6282801628113,1172.8883657455444,660.8984096050262,19.678784132003784,147.98331356048584
4,1.2570797,0.0,1.2570797,0.7023047,0.1415252880921895,0.03299117036772482,0.7810126356108862,1479.9471049308777,663.6131856441498,658.5641446113586,5.062107086181641,152.55755853652954
5,1.220689,0.0,1.220689,0.71382844,0.14034491037131883,0.032009707259033536,0.854109406427468,999.9603793621063,663.9590272903442,216.47329568862915,5.196497440338135,114.19129848480225
6,1.0892344,0.0,1.0892344,0.75600195,0.13430297695262483,0.028262812921037668,0.6814331368288392,1001.1506495475769,663.2996137142181,216.86210870742798,5.455806493759155,115.39168691635132
7,0.9867173,0.0,0.9867173,0.7808099,0.1284210947503201,0.025193734403966765,0.6855462815216106,1003.5460362434387,664.9274423122406,216.14784598350525,5.622328042984009,116.7069673538208
8,1.0716965,0.0,1.0716965,0.7553817,0.1321222791293214,0.028062542080484972,0.7666157714587569,999.5538854598999,664.5495834350586,216.46448636054993,5.623178720474243,112.77772641181946
9,1.2117966,0.0,1.2117966,0.712448,0.13998479513444304,0.03291646124750317,0.6187074482358181,1000.1860625743866,664.6875720024109,216.35087966918945,5.380353927612305,113.62606716156006
10,1.1156697,0.0,1.1156697,0.74729913,0.13512323943661972,0.02891803592853227,0.6845155894172519,998.0849604606628,664.1374316215515,215.65180134773254,5.051398992538452,113.10369777679443
11,1.2039359,0.0,1.2039359,0.7135083,0.13948463508322664,0.03256497188652151,0.6982989584999373,1000.0058398246765,663.6914911270142,216.54327273368835,6.361311674118042,113.20201301574707
12,1.1255485,0.0,1.1255485,0.74483836,0.13602352752880922,0.029119578317848612,0.7237292192425376,998.784265756607,663.7157776355743,216.4630835056305,4.663633346557617,113.79713082313538
13,1.1970924,0.0,1.1970924,0.72177094,0.13838428297055058,0.031037015714000804,0.7896283159248725,999.7479243278503,664.6882989406586,215.5290343761444,4.610822439193726,114.65960359573364
14,1.1718792,0.0,1.1718792,0.72837305,0.13516325224071704,0.028970018660599596,0.7912575555606781,998.8950922489166,662.9333801269531,215.8743965625763,5.560986042022705,114.38627934455872
15,1.2275369,0.0,1.2275369,0.71022725,0.13794414212548015,0.03081358231434549,0.7718538785926728,998.6749768257141,663.1585109233856,216.13041710853577,5.934374570846558,113.31295895576477
16,1.1047266,0.0,1.1047266,0.7493198,0.1323823623559539,0.02785470082319748,0.6804053650612786,997.9006493091583,662.7099423408508,216.08103466033936,4.998588562011719,113.97097873687744
17,1.0669168,0.0,1.0669168,0.75628203,0.13086187580025607,0.028030628991352256,0.782105212048348,998.0825967788696,663.6295025348663,215.87023639678955,4.664376735687256,113.65914392471313
18,1.0716053,0.0,1.0716053,0.75612193,0.1319822343149808,0.02674773301270593,0.8110294732524659,1000.1644201278687,663.9788053035736,216.20054745674133,5.390488624572754,114.45536136627197
19,1.158526,0.0,1.158526,0.7335547,0.13380281690140844,0.028996896346863074,0.7612207854593374,1002.4791102409363,664.170684337616,216.26409888267517,5.254167795181274,116.53422474861145
20,1.2284759,0.0,1.2284759,0.7099272,0.13804417413572342,0.031006418714506583,0.7056162020552273,999.4333937168121,663.6912097930908,216.04762935638428,5.350951910018921,114.20353317260742
21,1.0075617,0.0,1.0075617,0.77422774,0.1299615877080666,0.026164036059834146,0.5744661605141205,995.9506618976593,663.104296207428,215.58742094039917,4.359857559204102,112.75773310661316
22,1.2186279,0.0,1.2186279,0.7127281,0.14024487836107555,0.03168031909982519,0.5399110737607957,997.7014849185944,662.7124667167664,216.24864292144775,4.980966329574585,113.62146043777466
23,1.204987,0.0,1.204987,0.7190301,0.13506322023047376,0.02989881886843419,0.7688363158541882,996.1096723079681,662.5818197727203,215.81326246261597,4.721027374267578,112.84892773628235
24,1.2573265,0.0,1.2573265,0.7006042,0.13906450064020487,0.03151764952909794,0.7497218109704398,997.5806477069855,662.9678175449371,215.73790740966797,5.171668767929077,113.43835401535034
