#Namespace(arch='VGG16', batch_size=32, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=False, checkpoint_file=None, clustering='faiss', data_dir='./data', dataset='CIFAR10', deep_cluster_and_contrastive_loss=False, ds_split='train', ds_train=True, epochs=25, grayscale=True, input_dim=2, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_dir='./metrics/CIFAR10/5_runs_100_epochs/', metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='SGD', optimizer_tl='SGD', param_requires_grad=False, pca=True, pca_method='faiss', pca_reduction=256, pca_whitening=True, reassign_clustering=False, reassign_optimizer_tl=True, requires_grad=True, seed=None, sobel=True, verbose=True, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,contrastive_loss_avg,deep_cluster_loss_avg,accuracy,true_accuracy,nmi_true_pred,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,2.3393614,0.0,2.3393614,0.20776649,0.10949503841229194,0.06477742857542267,0.0,956.5302505493164,625.836660861969,223.17468309402466,0.518540620803833,106.84659910202026
1,1.3214573,0.0,1.3214573,0.534351,0.12920134443021766,0.05881951615833415,0.0980274446762196,910.4757885932922,585.9302113056183,215.3557436466217,0.32859325408935547,108.72191905975342
2,1.2841974,0.0,1.2841974,0.5395526,0.13146206786171574,0.050727504628578134,0.4308074546576,906.1461553573608,584.1307072639465,215.55081391334534,0.33300209045410156,105.98127841949463
3,1.1316718,0.0,1.1316718,0.59202945,0.14738716389244558,0.05336135724357883,0.4146092989117437,898.8650345802307,583.2019381523132,209.47039556503296,0.33274173736572266,105.71268200874329
4,1.3287268,0.0,1.3287268,0.53125,0.11907810499359796,0.05773001861467243,0.4389084058649368,901.4287512302399,583.4649918079376,210.01346349716187,0.9650142192840576,106.7827730178833
5,1.2366114,0.0,1.2366114,0.5514765,0.12832106274007682,0.06096245604454967,0.5134181178146462,899.4151616096497,583.4112544059753,209.98766160011292,0.3333017826080322,105.5332179069519
6,1.0315101,0.0,1.0315101,0.64244556,0.13360275288092188,0.06278556172161828,0.4682626509001428,898.9424877166748,583.6368026733398,209.9882049560547,0.3288710117340088,104.8401837348938
7,1.0777389,0.0,1.0777389,0.6102953,0.13126200384122919,0.06723262017610956,0.5865236750812707,899.6635642051697,583.7592082023621,210.03281044960022,0.589127779006958,105.01841354370117
8,0.94954485,0.0,0.94954485,0.6633923,0.1398047375160051,0.06569038026550697,0.5536105387789579,898.7848246097565,583.6497900485992,210.1858525276184,0.47469186782836914,104.21192193031311
9,0.9545921,0.0,0.9545921,0.66903406,0.13518325864276567,0.06579186299222814,0.5321025895466475,898.3113844394684,583.4362361431122,209.98055410385132,1.020075798034668,103.71546030044556
10,1.0377165,0.0,1.0377165,0.6355634,0.13152208706786173,0.07060262078427162,0.4843753426018381,894.3829638957977,583.8689441680908,209.17520451545715,0.34155964851379395,100.84884762763977
11,1.0423726,0.0,1.0423726,0.6259203,0.13358274647887325,0.07004630144534402,0.4927882264926867,898.6589970588684,584.0335919857025,210.02458906173706,0.3306756019592285,104.12259984016418
12,1.0163119,0.0,1.0163119,0.63760406,0.1375240076824584,0.06333003426095565,0.513334271786693,898.9447507858276,583.6937170028687,210.0849289894104,0.33866071701049805,104.6808443069458
13,0.96102893,0.0,0.96102893,0.6512084,0.13948463508322664,0.06576871175311523,0.4828297172720759,896.8331029415131,583.4369494915009,210.13486552238464,0.33831048011779785,102.77680540084839
14,1.0524551,0.0,1.0524551,0.6220391,0.1456666133162612,0.0603110700566106,0.48443605009356466,896.5458557605743,584.0795443058014,210.07488536834717,0.34069275856018066,101.90209102630615
15,1.2037466,0.0,1.2037466,0.5564781,0.13078185019206146,0.06488520929101983,0.4452043728981716,896.3014113903046,583.6168472766876,210.3759765625,0.33069920539855957,101.83181595802307
16,0.95913804,0.0,0.95913804,0.6579105,0.13498319462227912,0.07322389356782964,0.44638393574217694,899.5462427139282,583.8108713626862,210.54359221458435,0.9891347885131836,104.01810908317566
17,1.1112089,0.0,1.1112089,0.5913692,0.1337828104993598,0.06814531787349232,0.4856720298954459,898.2946200370789,583.2848196029663,210.4013397693634,1.0254027843475342,103.43388557434082
18,0.940212,0.0,0.940212,0.6765565,0.13838428297055058,0.0624538513200737,0.45469786428472453,896.981409072876,583.647956609726,209.36827993392944,0.33472156524658203,103.48341941833496
19,0.9827029,0.0,0.9827029,0.6550296,0.13798415492957747,0.06646857612191111,0.4979978525781991,894.6050560474396,583.4758207798004,209.5288541316986,0.3332650661468506,101.11914658546448
20,1.027255,0.0,1.027255,0.6400248,0.1327424775928297,0.06566503588751423,0.5133451130055013,896.0529892444611,583.3976356983185,209.36318564414978,0.9727845191955566,102.10694146156311
21,0.9214561,0.0,0.9214561,0.68015766,0.13586347631241996,0.06639979748816627,0.555609353603343,894.9410693645477,583.6191227436066,210.17150831222534,0.3425624370574951,100.65968918800354
22,0.93417364,0.0,0.93417364,0.674936,0.13668373879641485,0.06716585303599111,0.5318052358452758,897.7322337627411,583.762209892273,210.1020827293396,0.33576488494873047,103.38427400588989
23,0.99021256,0.0,0.99021256,0.65074825,0.13392285531370038,0.07083462341384457,0.5175056610686921,1277.472983598709,918.2897629737854,234.45433020591736,0.8989458084106445,123.62514424324036
24,0.9621421,0.0,0.9621421,0.65801054,0.13834427016645326,0.07811302845336691,0.530072688228852,1700.3349375724792,969.4054288864136,601.5259606838226,0.3791038990020752,128.8375358581543
