#Namespace(arch='AlexNet', batch_size=64, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=False, checkpoint_file=None, clustering='sklearn', contrastive_strategy_1=False, contrastive_strategy_2=False, data_dir='./data', dataset='CIFAR10', ds_split='train', ds_train=True, epochs=25, grayscale=False, input_dim=3, loss_fn='CrossEntropy', lr=0.1, lr_tl=0.1, metrics=True, metrics_dir='./metrics/CIFAR10/5_runs_100_epochs/', metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=1000, optimizer='SGD', optimizer_tl='SGD', param_requires_grad=False, pca=True, pca_method='faiss', pca_reduction=256, pca_whitening=True, reassign_clustering=False, reassign_optimizer_tl=True, remove_head=False, requires_grad=False, seed=None, sobel=False, verbose=True, weight_decay=0.001, weight_decay_tl=0.001)
epoch,loss_avg,contrastive_loss_avg,deep_cluster_loss_avg,accuracy,true_accuracy,nmi_true_pred,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,6.9072723,0.0,6.9072723,0.002980954,0.010463348271446862,0.161677434187782,0.0,615.076735496521,188.1794867515564,67.07764887809753,248.6843602657318,111.01272940635681
1,6.8459463,0.0,6.8459463,0.002580826,0.007482394366197183,0.114499471450228,0.5175191294539568,617.5682117938995,187.8252396583557,66.63753271102905,253.82546854019165,109.16489601135254
2,6.8692913,0.0,6.8692913,0.002140685,0.008142605633802816,0.10044255955050303,0.4988717389823366,616.2832734584808,189.28558015823364,66.77552223205566,254.8578326702118,105.22701621055603
3,6.825626,0.0,6.825626,0.0029609476,0.0076824583866837385,0.09015914579951848,0.46494601458052737,622.3935129642487,187.85549879074097,67.0143473148346,258.4962227344513,108.78235340118408
4,6.448311,0.0,6.448311,0.055577785,0.031129961587708067,0.09144501310499745,0.4568826036423228,616.162938117981,188.28874492645264,66.61447095870972,260.68900871276855,100.32499361038208
5,6.8568068,0.0,6.8568068,0.0071422854,0.008762804097311139,0.06291849157470301,0.4225191713768004,618.4179365634918,187.90177035331726,66.39645791053772,263.27496552467346,100.69568204879761
6,6.8744187,0.0,6.8744187,0.008362676,0.011703745198463508,0.07214178570854142,0.43601340856545445,618.2617745399475,188.08269691467285,66.67787837982178,260.74568796157837,102.61347961425781
7,6.883672,0.0,6.883672,0.0034010883,0.007942541613316262,0.08589699046180942,0.4584578485606083,615.2413377761841,187.9852316379547,66.8127748966217,263.82938051223755,96.36633634567261
8,6.831077,0.0,6.831077,0.0028609154,0.007102272727272727,0.06514712573511028,0.4420584826381984,612.8059961795807,188.32209587097168,66.46633672714233,267.5866401195526,90.29374194145203
9,3.9291902,0.0,3.9291902,0.5015205,0.07972551216389244,0.06058947494703088,0.31037627942866153,601.5582864284515,188.30653882026672,66.44209599494934,258.02609872817993,88.64591240882874
10,5.5535173,0.0,5.5535173,0.049135722,0.04613476312419974,0.04220727128054577,0.2067567666151119,601.647965669632,188.09175777435303,67.03615975379944,262.52257442474365,83.86626672744751
11,1.3948512,0.0,1.3948512,0.8037572,0.10517365556978234,0.044927157032910774,0.18368224530864682,573.9617555141449,187.84970092773438,66.76198935508728,233.3197717666626,85.90185379981995
12,0.8309184,0.0,0.8309184,0.4924976,0.1025728233034571,0.00019237847103884012,0.015597650899722988,572.3614494800568,187.83426880836487,66.5640754699707,234.19241857528687,83.65889358520508
13,0.7917981,0.0,0.7917981,0.49651888,0.10209266965428937,5.712042000994657e-05,0.9511851938472775,569.9598848819733,188.03996014595032,66.74759101867676,229.2088770866394,85.75356793403625
14,0.91622627,0.0,0.91622627,0.48341468,0.1025728233034571,0.00019237847103884006,0.9511851938472775,568.9074952602386,188.27091908454895,66.36528491973877,229.89461493492126,84.27243280410767
15,0.87596494,0.0,0.87596494,0.48791614,0.10259282970550576,0.00019237847103884006,1.0,569.3423109054565,188.11946892738342,66.70677256584167,230.29430055618286,84.11816072463989
16,0.79086274,0.0,0.79086274,0.49541855,0.10229273367477593,0.00015167032739785513,0.9522242306508694,570.4861850738525,188.29980850219727,66.64412641525269,230.7634551525116,84.67545962333679
17,0.20343658,0.0,0.20343658,0.9730714,0.10057218309859155,0.00016971818606379918,0.03155505438667122,571.285071849823,188.57716250419617,66.37734913825989,231.6099874973297,84.61622595787048
18,0.7776201,0.0,0.7776201,0.50328106,0.10213268245838668,5.873449163824007e-05,0.027871899275050415,571.8302097320557,188.32433891296387,66.85631537437439,231.20293712615967,85.34343433380127
19,0.7857397,0.0,0.7857397,0.49891967,0.10215268886043534,5.873449163824007e-05,1.0,572.936484336853,187.93535327911377,66.66894292831421,232.97623348236084,85.24294304847717
20,0.91131324,0.0,0.91131324,0.48511523,0.10255281690140845,0.00011155150950631847,0.9517652551837624,568.6428537368774,188.22330856323242,66.62407231330872,230.48837304115295,83.2031581401825
21,0.093688086,0.0,0.093688086,0.98847634,0.1000120038412292,0.0,0.0,570.7641041278839,188.28779792785645,66.3458833694458,232.73883199691772,83.2885365486145
22,0.81222546,0.0,0.81222546,0.4912372,0.10215268886043534,5.873449163824007e-05,0.0,572.7346467971802,188.19116973876953,66.86816239356995,232.17897129058838,85.2829840183258
23,0.784371,0.0,0.784371,0.50182056,0.10233274647887323,0.00015167032739785513,0.8985044361875596,570.2598993778229,187.90071964263916,66.94792437553406,230.83280420303345,84.47636604309082
24,0.77759916,0.0,0.77759916,0.5027609,0.10215268886043534,5.873449163824007e-05,0.8985044361875596,569.5285868644714,187.89537978172302,66.63834929466248,230.14215898513794,84.7431309223175
