#Namespace(arch='FeedForward', batch_size=128, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=False, checkpoint_file=None, clustering='sklearn', contrastive_strategy_1=False, contrastive_strategy_2=False, data_dir='./data', dataset='CIFAR10', ds_split='train', ds_train=True, epochs=25, grayscale=False, input_dim=3, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_dir='./metrics/CIFAR10/5_runs_100_epochs/', metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='SGD', optimizer_tl='SGD', param_requires_grad=False, pca=False, pca_method='faiss', pca_reduction=256, pca_whitening=False, reassign_clustering=False, reassign_optimizer_tl=True, remove_head=True, requires_grad=False, seed=None, sobel=False, verbose=True, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,contrastive_loss_avg,deep_cluster_loss_avg,accuracy,true_accuracy,nmi_true_pred,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,2.1675136,0.0,2.1675136,0.23445512,0.17147435897435898,0.04883178740467222,0.0,218.64424395561218,156.09401416778564,58.13901209831238,4.329308032989502,0
1,1.9283968,0.0,1.9283968,0.35653046,0.17161458333333332,0.04889637531151912,0.17502877703349848,214.48149991035461,155.72573351860046,55.97952222824097,2.7078516483306885,0
2,1.8968376,0.0,1.8968376,0.38241187,0.15869391025641025,0.04268927624330085,0.3389625097866703,218.94841647148132,158.3226282596588,57.06082248687744,3.4804859161376953,0
3,1.8138559,0.0,1.8138559,0.41270033,0.15432692307692308,0.043835633169308656,0.41137970964497333,216.72741270065308,155.261479139328,58.11011457443237,3.270942211151123,0
4,2.0096009,0.0,2.0096009,0.30677083,0.16901041666666666,0.05975625837535736,0.3916672892551972,218.06148147583008,155.9771785736084,57.75838923454285,4.248324155807495,0
5,1.7531801,0.0,1.7531801,0.45222357,0.16121794871794873,0.05022564457110683,0.35167878983234796,223.0114347934723,160.3431978225708,57.445213079452515,5.143922328948975,0
6,1.797138,0.0,1.797138,0.42487982,0.15454727564102563,0.04050749224515369,0.3685314359208004,215.7303581237793,156.4494857788086,56.54151916503906,2.6613876819610596,0
7,1.8173423,0.0,1.8173423,0.36085737,0.14915865384615384,0.04591320699173108,0.4317539865634561,221.2070116996765,156.57094192504883,58.03013610839844,6.528207540512085,0
8,1.6846982,0.0,1.6846982,0.4203125,0.15182291666666667,0.03639538502810248,0.3334704852641091,222.86340856552124,159.24669218063354,59.19479250907898,4.344041109085083,0
9,1.8014497,0.0,1.8014497,0.36800882,0.1466746794871795,0.04304917929645626,0.2896216440938224,221.1681830883026,160.29933953285217,57.66724705696106,3.1246390342712402,0
10,1.9169488,0.0,1.9169488,0.34204727,0.16604567307692308,0.056861400946748915,0.3037554815123732,219.81800985336304,156.69666481018066,57.82018280029297,5.2225847244262695,0
11,1.596213,0.0,1.596213,0.49202725,0.15318509615384615,0.04761973736084326,0.28692881431067724,217.29442691802979,155.40728211402893,58.6397180557251,3.1682169437408447,0
12,1.4284514,0.0,1.4284514,0.59757614,0.15516826923076923,0.054895053632624605,0.32351794247479143,221.04107117652893,156.11694145202637,57.666244983673096,7.1805033683776855,0
13,1.6972995,0.0,1.6972995,0.4673277,0.14787660256410257,0.0318468141726486,0.2527184132552596,215.38850808143616,156.94114708900452,55.013447523117065,3.3568904399871826,0
14,1.376942,0.0,1.376942,0.6128005,0.1440304487179487,0.04301403809669561,0.23687073747926848,219.55192184448242,158.41934418678284,58.38092756271362,2.6753878593444824,0
15,1.4838989,0.0,1.4838989,0.5801282,0.1538661858974359,0.041603560644359015,0.3251782736005799,213.53358435630798,152.9687888622284,57.500638246536255,2.984530448913574,0
16,1.7853594,0.0,1.7853594,0.41644633,0.16584535256410257,0.04828434797526063,0.3081104368924701,218.45204257965088,155.77637791633606,55.49076724052429,7.1083478927612305,0
17,1.7209207,0.0,1.7209207,0.43645832,0.1461338141025641,0.029976692106457342,0.2930240516336136,213.606693983078,155.08785033226013,55.68627738952637,2.754352569580078,0
18,1.6011499,0.0,1.6011499,0.51390225,0.15655048076923078,0.045029585761124216,0.4346046603633016,217.23326301574707,155.6588957309723,56.891358852386475,4.6051905155181885,0
19,1.7741174,0.0,1.7741174,0.39915866,0.1519230769230769,0.04063175847096181,0.3407322135341299,220.04031920433044,157.59565615653992,57.21979117393494,5.14708399772644,0
20,1.6216469,0.0,1.6216469,0.5035657,0.152724358974359,0.03762235739492963,0.3499744203048768,219.83459663391113,159.19883465766907,57.66871500015259,2.8892743587493896,0
21,1.7291654,0.0,1.7291654,0.3908854,0.14725560897435896,0.02617253340437341,0.3014493604643405,219.54658603668213,156.87955737113953,56.25163292884827,6.337104320526123,0
22,1.3309702,0.0,1.3309702,0.6101162,0.14158653846153846,0.032721381986152404,0.2376427393392468,221.88065338134766,157.3235514163971,59.494760036468506,4.985206842422485,0
23,1.6457025,0.0,1.6457025,0.480008,0.15322516025641025,0.04801222464046297,0.38862613355596926,219.444926738739,154.8833990097046,57.692269802093506,6.792421102523804,0
24,1.5482134,0.0,1.5482134,0.52640224,0.15124198717948717,0.05752030002124557,0.4304653694565609,221.47325253486633,157.3111972808838,57.6994252204895,6.385990142822266,0
