#Namespace(arch='VGG16', batch_size=32, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=False, checkpoint_file=None, clustering='faiss', data_dir='./data', dataset='FashionMNIST', deep_cluster_and_contrastive_loss=False, ds_split='train', ds_train=True, epochs=25, grayscale=False, input_dim=1, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_dir='./metrics/FashionMNIST/5_runs_100_epochs/', metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='SGD', optimizer_tl='SGD', param_requires_grad=False, pca=True, pca_method='sklearn', pca_reduction=256, pca_whitening=True, reassign_clustering=False, reassign_optimizer_tl=True, requires_grad=True, seed=None, sobel=False, verbose=True, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,contrastive_loss_avg,deep_cluster_loss_avg,accuracy,true_accuracy,nmi_true_pred,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,1.8766416,0.0,1.8766416,0.3903,0.12518333333333334,0.42327301937971995,0.0,1001.6408123970032,732.4212584495544,237.7413308620453,0.606198787689209,30.436798095703125
1,0.9464384,0.0,0.9464384,0.6353,0.13903333333333334,0.2849020983087026,0.34015466890553797,1043.0020036697388,759.5092513561249,252.60821914672852,0.38433051109313965,30.116187572479248
2,0.7431373,0.0,0.7431373,0.7114,0.14603333333333332,0.27356108823852526,0.5067688892818966,1043.955514907837,758.5977172851562,252.72918009757996,0.38474297523498535,31.84713101387024
3,0.83153325,0.0,0.83153325,0.6773,0.13461666666666666,0.35602903715412726,0.5185602296513326,1043.2194323539734,758.3988227844238,254.40304136276245,0.38745808601379395,29.729297876358032
4,0.9681886,0.0,0.9681886,0.6194,0.13686666666666666,0.3245496172016226,0.4683628891919036,1043.4326000213623,758.9185817241669,252.54102230072021,0.37938833236694336,31.202042818069458
5,0.91729426,0.0,0.91729426,0.65026665,0.13408333333333333,0.34168159074484855,0.4918259535248185,1042.3596813678741,758.9965200424194,252.66247010231018,0.3723125457763672,29.941097021102905
6,0.74291515,0.0,0.74291515,0.7115667,0.13951666666666668,0.37435483956685905,0.5368830473629019,1042.972244501114,758.5938441753387,252.6512484550476,0.38598155975341797,30.948294401168823
7,0.9125813,0.0,0.9125813,0.65353334,0.12571666666666667,0.38774858706119497,0.5098936799986701,1041.9202816486359,758.9322946071625,253.0146939754486,0.38417768478393555,29.19293713569641
8,0.81982684,0.0,0.81982684,0.67803335,0.13076666666666667,0.3149479207433503,0.4746391876238114,1044.2277464866638,759.5593619346619,252.72870349884033,0.38436007499694824,31.16154956817627
9,0.88147175,0.0,0.88147175,0.6530167,0.15956666666666666,0.3461609165161956,0.43232322260992795,1042.9633519649506,759.1221868991852,252.9371428489685,0.3845057487487793,30.128089427947998
10,0.9027323,0.0,0.9027323,0.6415667,0.14181666666666667,0.36825778123208996,0.47158774837453254,1043.628574371338,759.1125366687775,252.42537593841553,0.372448205947876,31.327561855316162
11,0.8482153,0.0,0.8482153,0.6642333,0.15265,0.29114011132098033,0.3814538793543451,1043.635803937912,759.6254510879517,252.38686394691467,0.38642096519470215,30.849051237106323
12,0.89538294,0.0,0.89538294,0.64985,0.13548333333333334,0.35937970402136693,0.3488609753757934,1042.908632516861,759.8747692108154,252.65912008285522,0.37697482109069824,29.606738090515137
13,0.7117865,0.0,0.7117865,0.7310333,0.15573333333333333,0.3139399657231661,0.4400954690195081,1044.0541532039642,760.1344685554504,253.01465463638306,0.39111995697021484,30.12359094619751
14,0.9025265,0.0,0.9025265,0.64863336,0.12593333333333334,0.36361897713637376,0.4046841663453191,1044.1086962223053,759.9597363471985,252.79357409477234,0.3794844150543213,30.581307888031006
15,0.7371141,0.0,0.7371141,0.71066666,0.14753333333333332,0.3258487804750417,0.4368142592469425,1043.209655046463,759.775808095932,252.60762643814087,0.3806276321411133,30.054882764816284
16,0.83588666,0.0,0.83588666,0.6752667,0.14535,0.32491510455219497,0.48259211908317223,1044.889814376831,759.6639106273651,252.76650190353394,0.40523505210876465,31.665635108947754
17,0.8739294,0.0,0.8739294,0.67575,0.1282,0.3318302147320826,0.4579494084685684,1043.301626443863,759.5730264186859,253.04890370368958,0.38520050048828125,29.902403593063354
18,0.861765,0.0,0.861765,0.67578334,0.1361,0.3560260245029824,0.43366669745017566,1044.2322251796722,758.915114402771,253.00968742370605,0.3708078861236572,31.545156955718994
19,0.8559717,0.0,0.8559717,0.67045,0.13443333333333332,0.36968241200541985,0.4701499806596714,1042.9955384731293,759.4535126686096,252.89354872703552,0.37554335594177246,29.881972074508667
20,0.6492372,0.0,0.6492372,0.74545,0.14886666666666667,0.3418151159507623,0.47156414035143357,1044.4842700958252,759.6537733078003,252.6309711933136,0.40239477157592773,31.391576051712036
21,0.96968764,0.0,0.96968764,0.63236666,0.12566666666666668,0.3216044500442765,0.41002062762713937,1043.7921261787415,758.726265668869,252.28338408470154,0.37181878089904785,32.01864957809448
22,0.689831,0.0,0.689831,0.73143333,0.14651666666666666,0.39809537184269794,0.4697667215537963,1043.685949087143,759.2294409275055,252.62088680267334,0.3840775489807129,31.06163263320923
23,0.8967074,0.0,0.8967074,0.6461,0.14838333333333334,0.295974033001051,0.5038437107463097,1044.0453445911407,759.2170634269714,252.66397166252136,0.38610219955444336,31.38431692123413
24,0.8148284,0.0,0.8148284,0.70528334,0.13678333333333334,0.3642529023402141,0.33215968828032605,1043.5724580287933,759.5634174346924,252.65317964553833,0.3772461414337158,30.58648443222046
