#Namespace(arch='AlexNet', batch_size=128, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=False, checkpoint_file=None, clustering='sklearn', contrastive_strategy_1=False, contrastive_strategy_2=False, data_dir='./data', dataset='FashionMNIST', ds_split='train', ds_train=True, epochs=25, grayscale=False, input_dim=2, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_dir='./metrics/FashionMNIST/5_runs_100_epochs/', metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='SGD', optimizer_tl='SGD', param_requires_grad=False, pca=True, pca_method='faiss', pca_reduction=256, pca_whitening=True, reassign_clustering=False, reassign_optimizer_tl=True, remove_head=False, requires_grad=False, seed=None, sobel=True, verbose=True, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,contrastive_loss_avg,deep_cluster_loss_avg,accuracy,true_accuracy,nmi_true_pred,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,1.4651768,0.0,1.4651768,0.5143396,0.4777644230769231,0.48886503892765415,0.0,669.9319560527802,303.1748378276825,198.414874792099,29.487738370895386,138.68023347854614
1,1.3362051,0.0,1.3362051,0.4970286,0.4425413995726496,0.4033971188987128,0.4715226936864973,682.2871201038361,307.0994396209717,186.62059259414673,22.177109241485596,165.7995104789734
2,0.9737969,0.0,0.9737969,0.6597389,0.3211304754273504,0.363815754279452,0.3767258507841729,701.7444584369659,329.0383243560791,203.28498673439026,29.280245304107666,139.4529254436493
3,0.96434236,0.0,0.96434236,0.6562166,0.35336538461538464,0.4299506154561324,0.500581008583686,634.3726849555969,306.55981254577637,184.8983359336853,7.377109050750732,134.82828640937805
4,1.127834,0.0,1.127834,0.5972723,0.4195713141025641,0.42291977968007616,0.5164645050824579,652.1102304458618,311.37082076072693,186.86424279212952,22.150957107543945,131.03166127204895
5,0.91837776,0.0,0.91837776,0.67242587,0.3384081196581197,0.37118941785093557,0.42842956783095315,636.0531342029572,294.3234179019928,181.7799129486084,26.173747539520264,133.6116213798523
6,0.92935866,0.0,0.92935866,0.675197,0.3763187767094017,0.4100839201686642,0.5637107436638316,598.9353969097137,271.1368887424469,173.7080512046814,25.642016172409058,128.26956915855408
7,0.98696077,0.0,0.98696077,0.64685166,0.3816272702991453,0.3972393964865788,0.44534962513933357,615.8058841228485,295.1055152416229,161.97217106819153,25.874671459197998,132.24011778831482
8,1.0157689,0.0,1.0157689,0.6396234,0.3812099358974359,0.37966715395849426,0.49828544584589507,641.6830778121948,307.12584710121155,177.80353140830994,26.322731733322144,130.1811785697937
9,1.049352,0.0,1.049352,0.6343316,0.37062633547008544,0.3452171165108652,0.5891731405827861,606.9394626617432,278.75325107574463,174.02643609046936,23.462037324905396,130.08452677726746
10,0.94772077,0.0,0.94772077,0.66451323,0.36508413461538464,0.39695187105541735,0.49569190678694997,604.7937018871307,289.5585923194885,159.7014763355255,24.38108777999878,130.97725534439087
11,1.0916767,0.0,1.0916767,0.6257345,0.31837606837606836,0.3249029617143729,0.4607403963668364,622.5521039962769,294.9080033302307,172.96868085861206,25.673945903778076,128.2498173713684
12,0.87760645,0.0,0.87760645,0.67925346,0.31832598824786323,0.361784469389314,0.39173081521195585,609.7531614303589,278.29134488105774,172.89213228225708,27.799394845962524,130.37245345115662
13,0.8370897,0.0,0.8370897,0.6925748,0.3694411057692308,0.3614067491737483,0.5287312602623602,618.7023005485535,290.0898628234863,169.5240204334259,26.708285331726074,131.85656023025513
14,0.875009,0.0,0.875009,0.6784522,0.3450186965811966,0.3309672281591263,0.549326274836729,603.9498672485352,274.46587443351746,164.73233652114868,24.772900581359863,139.80576753616333
15,0.91059744,0.0,0.91059744,0.662076,0.3724793002136752,0.3612847042229269,0.5634614855799868,625.376571893692,286.03447103500366,176.2843894958496,27.57736825942993,134.86058902740479
16,0.9423515,0.0,0.9423515,0.6610577,0.39207732371794873,0.3899544152832309,0.5964399516424613,629.90660405159,307.34052181243896,174.05061221122742,18.354419231414795,129.99646043777466
17,0.86771935,0.0,0.86771935,0.69591343,0.3161892361111111,0.3612798475179858,0.5281117534809064,614.3034467697144,294.86811542510986,163.7133011817932,22.532355308532715,132.49976587295532
18,1.1040996,0.0,1.1040996,0.62663597,0.31385216346153844,0.3299785740068633,0.3965409492296712,603.5518200397491,279.2866744995117,163.41774487495422,25.2831974029541,134.7883014678955
19,1.0147762,0.0,1.0147762,0.6317942,0.37875600961538464,0.3854468222828318,0.37855588711631283,629.3858714103699,295.2911887168884,170.30587100982666,25.64647388458252,137.97395944595337
20,0.83723,0.0,0.83723,0.6998197,0.3366887019230769,0.35467422884324157,0.5423531752803932,617.8311700820923,285.5183711051941,173.93184995651245,24.18353843688965,133.48677706718445
21,0.95477223,0.0,0.95477223,0.66274375,0.3303786057692308,0.3686582252476679,0.607767491797234,614.7704901695251,291.0701353549957,168.7530791759491,25.008689403533936,129.18531155586243
22,0.7638842,0.0,0.7638842,0.7223057,0.31874332264957267,0.36283600300435975,0.6755727439816761,625.5194725990295,291.11707830429077,176.4178695678711,26.94105076789856,130.8902726173401
23,0.92964953,0.0,0.92964953,0.651459,0.40067441239316237,0.3856524891953777,0.5821819462131267,634.539314031601,303.71963810920715,174.64893579483032,21.838961362838745,133.54080724716187
24,0.82657814,0.0,0.82657814,0.7024239,0.37338074252136755,0.3672153245189712,0.6029093513205527,615.4722695350647,276.9289207458496,175.56644487380981,28.08024024963379,134.1915261745453
