#Namespace(arch='VGG16', batch_size=32, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=False, checkpoint_file=None, clustering='faiss', contrastive_strategy_1=False, contrastive_strategy_2=False, data_dir='./data', dataset='FashionMNIST', ds_split='train', ds_train=True, epochs=25, grayscale=False, input_dim=2, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_dir='./metrics/FashionMNIST/5_runs_100_epochs/', metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='SGD', optimizer_tl='SGD', param_requires_grad=False, pca=True, pca_method='sklearn', pca_reduction=256, pca_whitening=True, reassign_clustering=False, reassign_optimizer_tl=True, remove_head=False, requires_grad=False, seed=None, sobel=True, verbose=True, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,contrastive_loss_avg,deep_cluster_loss_avg,accuracy,true_accuracy,nmi_true_pred,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,1.7699984,0.0,1.7699984,0.41986668,0.11901666666666667,0.4050357294550407,0.0,1113.9944944381714,831.6368217468262,260.51285696029663,0.6065068244934082,20.804016590118408
1,1.073378,0.0,1.073378,0.59555,0.1634,0.31373681998548564,0.4090087688477603,1421.3909075260162,1113.7193856239319,287.04488801956177,0.379840612411499,19.858493328094482
2,1.2105124,0.0,1.2105124,0.51055,0.14391666666666666,0.30561147584899784,0.4392125527414544,1920.1088001728058,1173.595834493637,710.8051707744598,0.46163439750671387,34.19588756561279
3,1.200438,0.0,1.200438,0.5555,0.14091666666666666,0.2909790878345221,0.46250958851828705,1920.399531841278,1157.048640012741,722.649031162262,0.44236159324645996,39.898171186447144
4,1.1310875,0.0,1.1310875,0.59415,0.14825,0.3059209159404121,0.4319875543361034,1900.8138864040375,1158.2949290275574,700.9341387748718,0.8157885074615479,39.63452649116516
5,1.1153119,0.0,1.1153119,0.5999,0.17436666666666667,0.2866925063206321,0.31720426927586476,1859.1659333705902,1113.6127290725708,705.4323966503143,0.45725011825561523,38.77094388008118
6,1.1105864,0.0,1.1105864,0.59683335,0.14701666666666666,0.2955432024582472,0.37164366318274383,1902.9345266819,1169.5496182441711,695.4816677570343,0.5006890296936035,37.00843834877014
7,1.5363413,0.0,1.5363413,0.6005333,0.13825,0.257656957007955,0.4550990426691291,1943.1495671272278,1172.3973641395569,728.3089072704315,0.712902307510376,41.1741669178009
8,1.1573538,0.0,1.1573538,0.5987167,0.14703333333333332,0.007647064389156907,0.005778999475090303,1903.7412068843842,1151.5521533489227,711.7136392593384,0.4197092056274414,39.20383310317993
9,0.86214936,0.0,0.86214936,0.54711664,0.10528333333333334,0.000123132985171896,0.896257716220752,1884.2393124103546,1140.1266884803772,703.706109046936,0.6781024932861328,39.13477373123169
10,0.9013769,0.0,0.9013769,0.47465,0.14248333333333332,0.00030800582396709256,0.9623740039554656,1874.264556646347,1115.0896849632263,723.7788169384003,0.5431613922119141,34.07856512069702
11,1.0201705,0.0,1.0201705,0.54865,0.12091666666666667,0.0016299013662734237,0.908578080099592,1877.923324584961,1152.3698315620422,690.4752132892609,0.45588040351867676,33.52504920959473
12,0.80761427,0.0,0.80761427,0.63825,0.16903333333333334,0.0004776574514413186,0.9206967793935141,1913.8096961975098,1136.4962923526764,741.6276745796204,0.42867016792297363,34.79670691490173
