#Namespace(arch='AlexNet', batch_size=128, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=False, checkpoint_file=None, clustering='sklearn', data_dir='./data', dataset='MNIST', deep_cluster_and_contrastive_loss=False, ds_split='train', ds_train=True, epochs=100, grayscale=False, input_dim=2, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_dir='./metrics/MNIST/100_runs/', metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='SGD', optimizer_tl='SGD', param_requires_grad=False, pca=True, pca_method='sklearn', pca_reduction=256, pca_whitening=True, reassign_clustering=False, reassign_optimizer_tl=True, requires_grad=True, seed=None, sobel=True, verbose=True, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,contrastive_loss_avg,deep_cluster_loss_avg,accuracy,true_accuracy,nmi_true_pred,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,1.5050559,0.0,1.5050559,0.45409322,0.5652043269230769,0.6867241300859338,0.0,185.3588261604309,122.47434663772583,46.088913917541504,8.394109010696411,8.26953649520874
1,1.5299865,0.0,1.5299865,0.46354166,0.4458299946581197,0.31855112633279725,0.28036183987124064,177.21120858192444,114.65997838973999,44.22969317436218,8.964030742645264,9.201422691345215
2,1.335514,0.0,1.335514,0.55487114,0.26171875,0.17037202339573443,0.1752688964891694,176.78065609931946,115.12590789794922,44.16170382499695,8.5189049243927,8.83934235572815
3,0.848302,0.0,0.848302,0.697516,0.337623530982906,0.4156953278440253,0.17394720579975473,176.72986340522766,114.2365837097168,46.27178168296814,7.082356929779053,9.022212505340576
4,0.997628,0.0,0.997628,0.6345319,0.3553018162393162,0.37252521900185004,0.4977320144462126,176.95777201652527,114.66100788116455,45.78588342666626,7.723538875579834,8.672424077987671
5,0.8509998,0.0,0.8509998,0.6923411,0.33096287393162394,0.3754201766181169,0.4617122861479451,175.6394431591034,114.44738912582397,44.53803300857544,7.855850458145142,8.67335820198059
6,0.7538025,0.0,0.7538025,0.72596157,0.3629807692307692,0.4132889565770368,0.45915995047920927,178.0842490196228,113.96013522148132,45.73263239860535,9.578623533248901,8.683595657348633
7,0.7314274,0.0,0.7314274,0.7306357,0.27437232905982906,0.31401610185894835,0.4705085432498056,176.83449745178223,114.47423100471497,45.03599572181702,8.385019063949585,8.819557428359985
8,0.71572304,0.0,0.71572304,0.74233776,0.3614950587606838,0.39658313945312035,0.5732455417345148,176.32767534255981,114.18812894821167,43.985066652297974,8.875601768493652,9.147007465362549
9,0.7703651,0.0,0.7703651,0.70245725,0.36570178952991456,0.41755580298036216,0.4831442244938983,177.06702828407288,114.49395251274109,45.622480392456055,7.647894859313965,9.176271677017212
10,0.7610585,0.0,0.7610585,0.7217047,0.3132678952991453,0.34448115073160646,0.4904310769151828,175.53722167015076,114.04727244377136,44.80095887184143,7.467785120010376,9.092379331588745
11,0.80959815,0.0,0.80959815,0.69860107,0.2854567307692308,0.3200263785467931,0.49675103628256156,176.6735532283783,114.15983247756958,45.12277579307556,8.359214782714844,8.896913051605225
12,0.81392473,0.0,0.81392473,0.70097154,0.3262219551282051,0.3301858376720024,0.5058843823267855,177.5243182182312,114.7455952167511,44.62190341949463,9.243058919906616,8.78050947189331
13,0.67783916,0.0,0.67783916,0.7491152,0.30291800213675213,0.3516427925847596,0.5656103463923549,176.0971381664276,114.37917900085449,44.151814222335815,8.708640336990356,8.727036714553833
14,0.72080535,0.0,0.72080535,0.73442507,0.2890625,0.33816198851491513,0.5926169223643958,177.53291702270508,114.81687235832214,44.87513995170593,8.868708372116089,8.843929290771484
15,0.7683146,0.0,0.7683146,0.7075654,0.35662059294871795,0.3884738911178766,0.48541891500575,177.4547848701477,114.55013990402222,44.91351270675659,9.179746866226196,8.680832386016846
