#Namespace(arch='VGG16', batch_size=32, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=False, checkpoint_file=None, clustering='faiss', data_dir='./data', dataset='MNIST', deep_cluster_and_contrastive_loss=False, ds_split='train', ds_train=True, epochs=25, grayscale=False, input_dim=1, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_dir='./metrics/MNIST/5_runs_100_epochs/', metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='SGD', optimizer_tl='SGD', param_requires_grad=False, pca=True, pca_method='faiss', pca_reduction=256, pca_whitening=True, reassign_clustering=False, reassign_optimizer_tl=True, requires_grad=True, seed=None, sobel=False, verbose=True, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,contrastive_loss_avg,deep_cluster_loss_avg,accuracy,true_accuracy,nmi_true_pred,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,1.8550633,0.0,1.8550633,0.37026668,0.15246666666666667,0.5454882828545545,0.0,1078.1210165023804,734.9949777126312,236.9864091873169,0.5847768783569336,105.12973284721375
1,1.2288364,0.0,1.2288364,0.51488334,0.14366666666666666,0.471978520926603,0.37538340200090153,1119.0222141742706,761.593745470047,253.95719170570374,0.36858201026916504,102.71926283836365
2,1.135104,0.0,1.135104,0.5764833,0.13966666666666666,0.5740356108304608,0.4466519213125829,1113.3470458984375,761.1977825164795,253.35023951530457,0.3698301315307617,98.03762149810791
3,1.0157504,0.0,1.0157504,0.62495,0.16081666666666666,0.4841180153444772,0.5238523508908358,1113.3807649612427,761.8336405754089,252.4070541858673,0.37664055824279785,98.47437930107117
4,0.98481977,0.0,0.98481977,0.6195833,0.19315,0.5048971812668348,0.47350893154240586,1109.7826313972473,761.7970778942108,252.17529678344727,0.3751814365386963,95.05493640899658
5,0.8791681,0.0,0.8791681,0.6644167,0.20016666666666666,0.5248493518528761,0.509560256223917,1110.9230761528015,762.8398108482361,252.54477906227112,0.3970625400543213,94.64822602272034
6,0.98558587,0.0,0.98558587,0.6256833,0.16391666666666665,0.5325556347135192,0.5516025784885895,1109.6526503562927,762.8090877532959,253.77776193618774,0.37819910049438477,92.30570793151855
7,1.1010708,0.0,1.1010708,0.5686833,0.16111666666666666,0.4915811774008389,0.4325465732368249,1110.1769280433655,762.3579521179199,253.158038854599,0.3696315288543701,93.90616607666016
8,0.8824339,0.0,0.8824339,0.6619833,0.18628333333333333,0.5483254652196952,0.44195372887008894,1111.9038696289062,762.0378980636597,252.7399606704712,0.3741641044616699,96.37218189239502
9,0.9021351,0.0,0.9021351,0.6722,0.14648333333333333,0.6169238186506858,0.5383025083377593,1113.33620262146,762.8765490055084,254.00424695014954,0.36836886405944824,95.70716118812561
10,0.9966878,0.0,0.9966878,0.62696666,0.17205,0.48916452422543716,0.5129165561510548,1111.4606351852417,762.646594285965,252.54789304733276,0.3775343894958496,95.50596761703491
11,0.809126,0.0,0.809126,0.69881666,0.20366666666666666,0.5156417601327293,0.44485094584026574,1109.66432595253,762.4152772426605,253.2470440864563,0.3811519145965576,93.23447728157043
12,0.9053389,0.0,0.9053389,0.6428,0.17593333333333333,0.5248377428787424,0.5415245842919054,1110.819171667099,762.3441808223724,253.54662609100342,0.3702201843261719,94.17864227294922
13,0.91169155,0.0,0.91169155,0.6540667,0.15635,0.501461077694258,0.4490737682007846,1111.5283181667328,762.2867410182953,253.11386013031006,0.39706873893737793,95.33214139938354
14,0.9344531,0.0,0.9344531,0.6462833,0.16516666666666666,0.5161253031584417,0.48469470272992515,1112.515587091446,761.8815701007843,253.87156677246094,0.41864919662475586,95.84728384017944
15,0.74167925,0.0,0.74167925,0.73188335,0.20746666666666666,0.557968291151727,0.5279429281324296,1112.8283169269562,762.6800134181976,252.991863489151,0.5854015350341797,96.11092066764832
16,0.8819806,0.0,0.8819806,0.6633667,0.18178333333333332,0.5342859042435277,0.5150314459066477,1110.0212969779968,762.3045523166656,252.70762848854065,0.3775060176849365,94.24850511550903
17,0.9153403,0.0,0.9153403,0.66186666,0.1359,0.5992965921938774,0.5071868343844532,1111.607877254486,762.0253493785858,252.83775162696838,0.39908337593078613,95.94957447052002
18,0.8995055,0.0,0.8995055,0.67323333,0.14158333333333334,0.6114450292576782,0.4960752077354621,1116.7067258358002,762.8485069274902,253.89375591278076,0.3791675567626953,99.19999122619629
19,0.91270626,0.0,0.91270626,0.65991664,0.15556666666666666,0.5535232500263135,0.5224381764857825,1107.0202734470367,760.5887982845306,253.9096281528473,0.3725452423095703,91.7636365890503
20,0.7238054,0.0,0.7238054,0.72985,0.20898333333333333,0.5159321928484507,0.5421152517073409,1116.4805891513824,762.2939622402191,251.7871220111847,0.37160205841064453,101.65129137039185
21,0.7376597,0.0,0.7376597,0.72618335,0.19863333333333333,0.5764741047357839,0.5469973596249673,1112.0360012054443,762.4232513904572,254.11295652389526,0.38324809074401855,94.64624500274658
22,0.8970939,0.0,0.8970939,0.65038335,0.16806666666666667,0.49685739591414724,0.506297943973913,1115.3759829998016,762.3911426067352,253.5394411087036,0.36951327323913574,98.69108438491821
23,0.8317925,0.0,0.8317925,0.6872,0.18416666666666667,0.5397119922872509,0.4799772785612179,1113.06911277771,762.3217830657959,253.66843461990356,0.3752744197845459,96.31486654281616
24,0.8140609,0.0,0.8140609,0.6942833,0.18748333333333334,0.5147196977093016,0.5014205660468632,1114.1864984035492,762.8266592025757,253.13157653808594,0.37915921211242676,97.46182632446289
