#Namespace(arch='VGG16', batch_size=32, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=False, checkpoint_file=None, clustering='faiss', data_dir='./data', dataset='MNIST', deep_cluster_and_contrastive_loss=False, ds_split='train', ds_train=True, epochs=25, grayscale=False, input_dim=2, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_dir='./metrics/MNIST/5_runs_100_epochs/', metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='SGD', optimizer_tl='SGD', param_requires_grad=False, pca=True, pca_method='faiss', pca_reduction=256, pca_whitening=True, reassign_clustering=False, reassign_optimizer_tl=True, requires_grad=True, seed=None, sobel=True, verbose=True, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,contrastive_loss_avg,deep_cluster_loss_avg,accuracy,true_accuracy,nmi_true_pred,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,2.4620428,0.0,2.4620428,0.21641667,0.13368333333333332,0.6138515499642475,0.0,1110.0149097442627,755.3685221672058,245.75902247428894,0.5854883193969727,107.88067436218262
1,0.013215289,0.0,0.013215289,0.99938333,0.21556666666666666,9.891645452819221e-05,0.0001629879330006176,1112.1047055721283,746.4543509483337,236.08856058120728,0.38280749320983887,128.80595088005066
2,0.00487025,0.0,0.00487025,0.9994,0.39111666666666667,0.00017779694219018959,0.7196902508229699,1113.9913618564606,748.3628389835358,239.07501769065857,0.4070894718170166,125.76021218299866
3,0.030466372,0.0,0.030466372,0.99555,0.44265,0.00022027107285386562,0.18928088627399006,1112.2836112976074,750.6386368274689,234.5974669456482,0.3808553218841553,126.39014410972595
4,0.12213217,0.0,0.12213217,0.9814,0.217,0.0043135682846389516,0.07809701429929987,1147.6002535820007,751.0603339672089,239.64902114868164,0.3828713893890381,156.1345920562744
5,0.21754704,0.0,0.21754704,0.96001667,0.15151666666666666,0.005181288954143552,0.5488796833108136,1170.0364599227905,750.9775424003601,239.46657133102417,0.38564610481262207,178.83241271972656
6,0.40403697,0.0,0.40403697,0.90398335,0.16765,0.018012414223472835,0.327766617257263,1156.0438079833984,752.0461065769196,238.56324529647827,1.0416498184204102,164.0155918598175
7,0.48372576,0.0,0.48372576,0.88345,0.17276666666666668,0.02591669447428269,0.4297105018005021,1146.8278872966766,752.088122844696,240.57476210594177,0.3928854465484619,153.39343070983887
8,1.804178,0.0,1.804178,0.33755,0.11146666666666667,0.109465420692929,0.1408854525635201,1138.4767870903015,751.0652139186859,240.09316325187683,0.37123847007751465,146.5671854019165
9,1.5703198,0.0,1.5703198,0.42521667,0.12746666666666667,0.08680666491060306,0.28011023700093407,1141.8596873283386,751.4802749156952,240.36658382415771,0.3753175735473633,149.25420236587524
10,1.4198177,0.0,1.4198177,0.49378332,0.13441666666666666,0.08947139385171297,0.3785632538606241,1130.9276051521301,751.8039767742157,239.59922313690186,0.3789212703704834,138.75622415542603
11,1.3934032,0.0,1.3934032,0.5021,0.14345,0.10128337407280315,0.37860800671475886,1113.5290987491608,752.0977919101715,239.55503058433533,0.37215447425842285,121.1207914352417
12,1.2190115,0.0,1.2190115,0.56486666,0.16445,0.11551069746908214,0.3693977531640376,1121.2594571113586,750.9898271560669,240.1500632762909,0.3871490955352783,129.34652018547058
13,1.3585563,0.0,1.3585563,0.49116668,0.16058333333333333,0.12795000064307788,0.3473612338322864,1123.5881974697113,751.8526575565338,240.05558395385742,0.39467859268188477,130.89614391326904
14,1.1917369,0.0,1.1917369,0.56666666,0.19546666666666668,0.12575213240121796,0.3402030968896327,1097.9883880615234,751.3224408626556,239.94897961616516,0.37868356704711914,105.95296478271484
15,1.1463321,0.0,1.1463321,0.61605,0.17708333333333334,0.1546646058032577,0.3696227462442097,1103.9411191940308,751.4214079380035,236.53540205955505,0.37906527519226074,114.72296714782715
16,1.1505646,0.0,1.1505646,0.5729667,0.21796666666666667,0.1566311806200765,0.37844396766000965,1105.2684063911438,751.9324488639832,238.34254789352417,0.3764019012451172,114.22330164909363
17,1.1703078,0.0,1.1703078,0.57735,0.17235,0.20777159107314921,0.4205973124718486,1105.097177028656,750.7691581249237,239.32820415496826,0.3820056915283203,114.23513627052307
18,1.1423175,0.0,1.1423175,0.58781666,0.16896666666666665,0.24500150052011788,0.42820253191556723,1099.826632976532,750.8679010868073,238.9398753643036,0.37683773040771484,109.2550790309906
19,1.0585127,0.0,1.0585127,0.62785,0.16435,0.23972155329703454,0.5162997323408283,1104.1214640140533,750.7414479255676,238.99095845222473,0.4025285243988037,113.59959983825684
20,1.23677,0.0,1.23677,0.5524,0.1223,0.22549410767509284,0.4322329897715096,1101.0188188552856,750.742089509964,239.12689590454102,0.6860837936401367,109.95130610466003
21,1.2194316,0.0,1.2194316,0.57663333,0.12441666666666666,0.2543234191692007,0.4092570800302115,1097.3492412567139,751.1549408435822,235.10871958732605,0.39283013343811035,110.30621457099915
22,1.1088707,0.0,1.1088707,0.60195,0.1383,0.27271191894426783,0.4976196965628925,1096.1643753051758,751.0963973999023,235.78983521461487,0.38220643997192383,108.50904607772827
23,1.0661066,0.0,1.0661066,0.61985,0.15808333333333333,0.28162676512999485,0.5066363821568987,1100.291448354721,751.0269458293915,236.91934180259705,0.3819565773010254,111.57527565956116
24,1.0979584,0.0,1.0979584,0.60765,0.17403333333333335,0.24920142768549153,0.4343187793225205,1106.0638580322266,751.3231952190399,239.24344158172607,0.3761904239654541,114.73672676086426
