#Namespace(arch='FeedForward', batch_size=128, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=False, checkpoint_file=None, clustering='sklearn', contrastive_strategy_1=False, contrastive_strategy_2=False, data_dir='./data', dataset='MNIST', ds_split='train', ds_train=True, epochs=25, grayscale=False, input_dim=2, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_dir='./metrics/MNIST/5_runs_100_epochs/', metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='SGD', optimizer_tl='SGD', param_requires_grad=False, pca=False, pca_method='faiss', pca_reduction=256, pca_whitening=False, reassign_clustering=False, reassign_optimizer_tl=True, remove_head=True, requires_grad=False, seed=None, sobel=True, verbose=True, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,contrastive_loss_avg,deep_cluster_loss_avg,accuracy,true_accuracy,nmi_true_pred,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,2.2963498,0.0,2.2963498,0.12892294,0.20222355769230768,0.08868434847871334,0.0,116.87465786933899,78.65617990493774,34.34886169433594,3.785672426223755,0
1,2.2924256,0.0,2.2924256,0.12005876,0.2358440170940171,0.1146514723955986,0.07698444427405049,116.80096626281738,79.16815042495728,33.62660002708435,3.907411813735962,0
2,2.2654142,0.0,2.2654142,0.13979033,0.24165331196581197,0.11989786026461363,0.13130295428454258,117.13447618484497,79.26912808418274,33.763431787490845,4.018740177154541,0
3,2.277066,0.0,2.277066,0.12494992,0.21193910256410256,0.09198985681210528,0.3074832653523817,117.46283078193665,79.77604007720947,34.76813006401062,2.836146593093872,0
4,2.2278197,0.0,2.2278197,0.15705128,0.19310897435897437,0.10822852745826156,0.20473283557842764,115.10318970680237,78.17363572120667,33.83626914024353,3.0107028484344482,0
5,2.2474153,0.0,2.2474153,0.14668469,0.20229033119658119,0.10024770213383821,0.5232359000458007,115.44067287445068,78.83857583999634,33.62316918373108,2.895490884780884,0
6,2.2299657,0.0,2.2299657,0.144164,0.18658186431623933,0.09542112128564864,0.513793493148382,118.29917764663696,80.931467294693,34.11555075645447,3.1699535846710205,0
7,2.2266324,0.0,2.2266324,0.15231036,0.20601295405982906,0.10797210545766082,0.46582442815443487,115.16597008705139,78.16819858551025,34.05164170265198,2.8645994663238525,0
8,2.155229,0.0,2.155229,0.18985377,0.2006877670940171,0.11210763405672605,0.331529249445233,120.19295620918274,77.94281125068665,38.979414224624634,3.1876204013824463,0
9,2.1844988,0.0,2.1844988,0.17928685,0.22107037927350429,0.12327976934327385,0.2860027709342116,116.46338438987732,79.88892769813538,33.687872886657715,2.803966522216797,0
10,2.1752121,0.0,2.1752121,0.18217482,0.2520365918803419,0.15745376378417103,0.33902305094582386,117.27667498588562,79.44458031654358,33.70719623565674,4.041938781738281,0
11,2.1535566,0.0,2.1535566,0.20896769,0.2979266826923077,0.18624158073089295,0.305684448552882,116.96965670585632,79.91321086883545,33.98456525802612,2.9883697032928467,0
12,2.1490314,0.0,2.1490314,0.20871729,0.2701655982905983,0.16865754101306182,0.326109870472652,118.1047933101654,79.45381498336792,34.33071208000183,4.237936735153198,0
13,2.1398394,0.0,2.1398394,0.21399239,0.29412059294871795,0.16624397695718698,0.32798565615225955,114.6288857460022,78.04492950439453,34.00789976119995,2.494621992111206,0
14,2.1542673,0.0,2.1542673,0.1955629,0.26370526175213677,0.14131706301442173,0.33289515417441057,115.10266089439392,78.57439947128296,33.44227910041809,3.0025999546051025,0
15,2.110293,0.0,2.110293,0.20459402,0.2586304754273504,0.16905717241538426,0.30733554805781604,114.93101239204407,78.56464147567749,33.49959206581116,2.783676862716675,0
16,2.1064231,0.0,2.1064231,0.23696247,0.34812366452991456,0.21378503479420302,0.36331938093753363,115.99941682815552,78.19957399368286,33.62533783912659,4.092146396636963,0
17,2.1146708,0.0,2.1146708,0.19788328,0.2666266025641026,0.15948905543945124,0.33722054001264984,115.09632563591003,78.52752876281738,33.45947456359863,3.02751088142395,0
18,2.114663,0.0,2.114663,0.20806624,0.24941573183760685,0.14901754981477877,0.18004062594173992,114.94174075126648,78.61513948440552,33.415879011154175,2.8293087482452393,0
19,2.1005554,0.0,2.1005554,0.20749867,0.25025040064102566,0.14735273335814766,0.41579848162209176,122.89075112342834,79.24129986763,34.60470390319824,8.960806608200073,0
20,2.0888324,0.0,2.0888324,0.20809963,0.22465945512820512,0.1397558121299628,0.36901001642095155,114.50325608253479,78.24938941001892,33.65069317817688,2.521934986114502,0
21,1.8830633,0.0,1.8830633,0.3110143,0.17127403846153846,0.10378204077473104,0.43152771496096193,116.86087274551392,80.69466423988342,33.392630100250244,2.6925244331359863,0
22,1.7258192,0.0,1.7258192,0.3694745,0.21571180555555555,0.12503474798623976,0.45327662604240915,115.74138975143433,78.52233290672302,34.36932444572449,2.768385648727417,0
23,1.8469125,0.0,1.8469125,0.28799412,0.23357371794871795,0.14877506535901983,0.4190634781998603,119.8984112739563,82.47306418418884,34.03704261779785,3.3084723949432373,0
24,1.7002697,0.0,1.7002697,0.35865718,0.2163628472222222,0.14743449179243898,0.6013043500337766,116.60777020454407,78.96371626853943,34.73246645927429,2.830599308013916,0
