#Namespace(arch='AlexNet', batch_size=128, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=False, checkpoint_file=None, clustering='faiss', data_dir='./data', dataset='USPS', deep_cluster_and_contrastive_loss=False, ds_split='train', ds_train=False, epochs=10, grayscale=False, input_dim=1, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_dir=None, metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='SGD', optimizer_tl='SGD', param_requires_grad=False, pca=True, pca_method='sklearn', pca_reduction=256, pca_whitening=True, reassign_clustering=False, reassign_optimizer_tl=True, requires_grad=True, seed=None, sobel=False, verbose=True, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,contrastive_loss_avg,deep_cluster_loss_avg,accuracy,true_accuracy,nmi_true_pred,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,3.8757865,0.0,3.8757865,0.1828125,0.1734375,0.3279359675363068,0.0,13.24599552154541,8.536916494369507,2.76312518119812,1.3593273162841797,0.5403482913970947
1,2.175437,0.0,2.175437,0.19947916,0.17135416666666667,0.3546127536978953,0.29079968500787723,4.416728258132935,2.4040374755859375,1.3831825256347656,0.1423184871673584,0.4760289192199707
2,1.8383713,0.0,1.8383713,0.42916667,0.23645833333333333,0.33336202677778887,0.33205607664380865,4.343390226364136,2.404881000518799,1.3970651626586914,0.12835073471069336,0.39743685722351074
3,1.8066747,0.0,1.8066747,0.28385416,0.2,0.2311787938812226,0.35973677938606424,4.851133108139038,3.0183253288269043,1.387470006942749,0.12776756286621094,0.3074054718017578
4,1.7287155,0.0,1.7287155,0.33958334,0.22604166666666667,0.22798986874318927,0.3568090315004811,4.435441017150879,2.408484935760498,1.3883082866668701,0.14572954177856445,0.47788310050964355
5,1.792966,0.0,1.792966,0.32760417,0.221875,0.22752788285119474,0.35422903651572435,5.107556581497192,3.052926778793335,1.3956875801086426,0.15555810928344727,0.49022746086120605
6,1.7572255,0.0,1.7572255,0.31666666,0.23697916666666666,0.2374398296454619,0.3490313844673186,4.330526351928711,2.40875506401062,1.3900830745697021,0.14682507514953613,0.37169861793518066
7,1.8631881,0.0,1.8631881,0.29479167,0.2,0.29341644697954583,0.3544709202891913,5.895658016204834,2.9850358963012695,1.3973019123077393,0.13423371315002441,1.3606507778167725
8,1.7768552,0.0,1.7768552,0.36510417,0.18958333333333333,0.29372823893649075,0.38177711664219216,4.479087591171265,2.3991293907165527,1.3955597877502441,0.12787318229675293,0.5335690975189209
9,1.6435945,0.0,1.6435945,0.42291668,0.2203125,0.22795051433541152,0.3642703629982309,5.20317268371582,3.0201261043548584,1.3794121742248535,0.13815951347351074,0.6315393447875977
